<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAB,20161206,116.1731,116.1731,116.1731,116.1731,3010
SAB,20161207,124.2700,124.2700,124.2700,124.2700,30
SAB,20161208,132.8950,132.8950,132.8950,132.8950,1000
SAB,20161209,132.8950,142.1361,132.8950,142.1361,3010
SAB,20161212,152.0812,152.0812,152.0812,152.0812,35690
SAB,20161213,162.6424,162.6424,162.6424,162.6424,96830
SAB,20161214,173.9957,173.9957,173.9957,173.9957,154380
SAB,20161215,186.1411,186.1411,184.8209,186.1410,380050
SAB,20161216,199.1665,199.1665,176.0199,198.0224,387520
SAB,20161219,186.5811,198.0224,186.5811,186.5811,168190
SAB,20161220,185.7010,186.1411,173.5556,173.5556,399710
SAB,20161221,173.5556,179.1002,162.8184,176.7240,241750
SAB,20161222,184.7329,184.7329,178.6602,178.6602,52460
SAB,20161223,178.6602,178.6602,173.4676,176.0199,54810
SAB,20161226,176.9134,176.9134,169.7654,176.0150,169870
SAB,20161227,176.0150,178.5167,172.5304,176.9084,69880
SAB,20161228,178.5167,178.5167,176.1043,177.7126,28530
SAB,20161229,176.9085,176.9085,172.4411,176.0150,98560
SAB,20161230,176.9085,176.9085,174.6748,176.6404,96740
SAB,20170103,176.6404,176.6404,175.0321,176.0150,63170
SAB,20170104,176.0150,177.4446,174.2280,176.0150,87490
SAB,20170105,176.0150,176.9085,175.1215,176.1043,27170
SAB,20170106,176.8191,187.5408,176.1936,184.0563,212390
SAB,20170109,184.0563,185.8433,183.1628,183.1628,31390
SAB,20170110,184.8604,184.8604,180.0356,182.7160,44540
SAB,20170111,182.2693,187.6302,180.4823,187.6302,228480
SAB,20170112,190.3106,190.3106,187.6302,188.1663,55290
SAB,20170113,188.2556,189.5959,188.1663,189.2384,37670
SAB,20170116,188.5236,188.5236,185.8432,186.7367,33890
SAB,20170117,186.2900,194.2419,185.9326,193.4378,113760
SAB,20170118,192.3656,201.0324,192.3656,199.9602,103480
SAB,20170119,201.0324,201.0324,196.5650,199.9602,40040
SAB,20170120,199.2454,201.1217,199.2454,199.9602,77940
SAB,20170123,199.9602,199.9602,197.0117,198.3519,44360
SAB,20170124,196.5649,200.1389,196.5649,198.3519,137100
SAB,20170125,198.3519,199.9602,196.5649,199.9602,18800
SAB,20170202,200.0495,200.0495,195.6715,195.6715,18560
SAB,20170203,194.2419,199.1561,193.3485,193.8845,51700
SAB,20170206,196.1182,196.1182,188.9704,192.0976,50070
SAB,20170207,192.0976,196.5650,190.3106,192.9910,76580
SAB,20170208,192.9910,193.8845,192.0975,192.3656,36350
SAB,20170209,192.3656,192.3656,185.8432,188.5236,150070
SAB,20170210,188.5236,191.2040,188.5236,190.4893,35880
SAB,20170213,190.4893,191.8295,187.6302,190.6680,25240
SAB,20170214,190.6680,193.7952,190.4000,192.9910,72220
SAB,20170215,192.9910,192.9910,190.1319,191.1147,84300
SAB,20170216,191.2040,192.9910,191.2040,192.4549,44230
SAB,20170217,192.0975,192.0975,191.2040,191.8295,34430
SAB,20170220,190.5786,194.7780,190.4893,194.7780,103930
SAB,20170221,194.4206,196.5650,194.4206,196.2075,34930
SAB,20170222,196.1182,200.5855,196.1182,200.4069,100360
SAB,20170223,200.9430,202.8193,200.1389,202.8193,130020
SAB,20170224,203.7128,205.4997,201.9258,202.8193,107840
SAB,20170227,200.5856,203.6234,200.1389,201.1217,61270
SAB,20170228,201.4791,202.1045,201.1217,201.1217,50720
SAB,20170301,201.9258,201.9258,201.0324,201.8365,69440
SAB,20170302,202.8193,202.8193,195.8502,200.9430,30250
SAB,20170303,199.2454,201.3897,197.4584,201.3897,20670
SAB,20170306,201.0323,201.4790,198.3519,200.5856,32990
SAB,20170307,200.9430,201.0323,198.8880,198.8880,35720
SAB,20170308,198.8880,198.8880,195.1354,195.5821,14120
SAB,20170309,193.0804,197.4584,189.4171,192.9910,56450
SAB,20170310,192.9910,192.9910,188.5236,188.5236,17550
SAB,20170313,188.5236,188.5236,184.4136,184.9497,30560
SAB,20170314,184.9497,193.8845,181.5545,191.2041,54260
SAB,20170315,191.2041,192.0976,188.5237,189.0597,13250
SAB,20170316,189.0597,191.2040,183.6095,190.2213,7450
SAB,20170317,190.2213,190.2213,185.8432,185.8432,14250
SAB,20170320,185.8432,187.5408,185.8432,186.7367,7670
SAB,20170321,186.7367,186.7367,182.9841,183.3415,61100
SAB,20170322,183.3415,183.9669,179.1422,181.3758,42630
SAB,20170323,180.7504,182.9841,179.1421,180.4824,20840
SAB,20170324,180.4824,180.5717,177.8913,178.6954,101770
SAB,20170327,178.6954,179.1421,177.8019,178.6954,25830
SAB,20170328,179.5889,180.4824,177.8019,177.8019,55080
SAB,20170329,176.9978,183.1628,176.9084,178.6954,35850
SAB,20170330,178.6954,180.4824,178.6954,180.4824,11700
SAB,20170331,180.4824,180.4824,178.6954,178.6954,10830
SAB,20170403,178.6954,180.3930,178.6954,179.0528,20480
SAB,20170404,178.1593,179.0528,178.1593,179.0528,11070
SAB,20170405,180.9291,181.3758,179.2315,181.3758,24480
SAB,20170407,181.3758,183.1628,180.4823,183.1628,22080
SAB,20170410,182.2693,186.7367,182.1800,186.7367,41220
SAB,20170411,186.7367,187.1834,184.9497,185.3965,47920
SAB,20170412,184.9498,185.3965,181.3758,181.3758,7830
SAB,20170413,180.4823,184.0562,180.4823,183.1628,17760
SAB,20170414,184.8604,184.8604,180.9291,182.2693,24610
SAB,20170417,183.1628,184.9497,182.2693,184.9497,60990
SAB,20170418,184.0562,184.0562,181.8225,183.1628,49600
SAB,20170419,183.1628,183.1628,179.1422,180.0356,9950
SAB,20170420,180.0356,180.0356,178.6954,178.6954,23910
SAB,20170421,178.6954,179.5889,176.9084,179.5889,28730
SAB,20170424,179.5889,180.0356,178.6954,178.6954,54940
SAB,20170425,177.8019,178.6954,177.8019,177.8019,12720
SAB,20170426,178.2486,179.1421,177.8019,179.1421,15380
SAB,20170427,179.1421,179.5888,178.6060,178.6061,66200
SAB,20170428,178.6061,178.6954,176.9085,178.6061,7590
SAB,20170503,178.6061,178.6061,177.8020,178.6061,5880
SAB,20170504,178.6061,178.6061,177.1765,177.8019,39290
SAB,20170505,177.6232,178.1593,177.6232,178.0700,1140
SAB,20170508,178.2487,178.2487,177.8019,177.8019,38090
SAB,20170509,177.8019,177.8019,175.7469,175.7469,15040
SAB,20170510,175.5682,177.8019,175.5682,175.8363,7830
SAB,20170511,175.8363,177.1765,175.0321,175.0321,18710
SAB,20170512,175.1214,176.8191,175.1214,175.5682,7380
SAB,20170515,175.5682,175.5682,173.3345,173.3345,23710
SAB,20170516,173.3345,173.3345,170.7434,170.7435,8650
SAB,20170517,167.9737,174.2281,167.9737,168.5991,21820
SAB,20170518,168.6884,169.7606,168.6884,169.6713,8860
SAB,20170519,169.7606,169.7606,168.7778,169.7606,18730
SAB,20170522,169.7606,171.5476,169.3139,170.1180,68360
SAB,20170523,174.6747,174.8534,170.6541,173.3345,234300
SAB,20170524,173.3345,173.3345,170.0286,170.6541,38050
SAB,20170525,169.7606,170.6541,169.6713,170.6541,48990
SAB,20170526,172.9771,172.9771,167.9737,169.3139,28150
SAB,20170529,169.3139,170.2074,169.3139,169.7606,79770
